2014-03-13 16:09:14: Backup: init
2014-03-13 16:09:14: adding new snapshot: 1394726910
2014-03-13 16:09:24: table: pj_commentmeta segment: 1/1
2014-03-13 16:09:25: table: pj_comments segment: 1/1
2014-03-13 16:09:26: table: pj_links segment: 1/1
2014-03-13 16:09:26: table: pj_options segment: 1/1
2014-03-13 16:09:27: table: pj_postmeta segment: 1/1
2014-03-13 16:09:28: table: pj_posts segment: 1/1
2014-03-13 16:09:29: table: pj_term_relationships segment: 1/1
2014-03-13 16:09:29: table: pj_term_taxonomy segment: 1/1
2014-03-13 16:09:30: table: pj_terms segment: 1/1
2014-03-13 16:09:31: table: pj_usermeta segment: 1/1
2014-03-13 16:09:32: table: pj_users segment: 1/1
2014-03-13 16:09:33: table: wp_calendar segment: 1/1
2014-03-13 16:09:33: table: wp_calendar_categories segment: 1/1
2014-03-13 16:09:34: table: wp_calendar_config segment: 1/1
2014-03-13 16:09:34: table: wp_commentmeta segment: 1/1
2014-03-13 16:09:35: table: wp_comments segment: 1/1
2014-03-13 16:09:36: table: wp_hfecommcommentmeta segment: 1/1
2014-03-13 16:09:36: table: wp_hfecommcomments segment: 1/1
2014-03-13 16:09:37: table: wp_hfecommlinks segment: 1/1
2014-03-13 16:09:38: table: wp_hfecommoptions segment: 1/1
2014-03-13 16:09:39: table: wp_hfecommpostmeta segment: 1/1
2014-03-13 16:09:40: table: wp_hfecommposts segment: 1/1
2014-03-13 16:09:41: table: wp_hfecommterm_relationships segment: 1/1
2014-03-13 16:09:41: table: wp_hfecommterm_taxonomy segment: 1/1
2014-03-13 16:09:42: table: wp_hfecommterms segment: 1/1
2014-03-13 16:09:42: table: wp_hfecommusermeta segment: 1/1
2014-03-13 16:09:43: table: wp_hfecommusers segment: 1/1
2014-03-13 16:09:44: table: wp_hfecommwoocommerce_attribute_taxonomies segment: 1/1
2014-03-13 16:09:45: table: wp_hfecommwoocommerce_downloadable_product_permissions segment: 1/1
2014-03-13 16:09:45: table: wp_hfecommwoocommerce_termmeta segment: 1/1
2014-03-13 16:09:46: table: wp_hfecommwpsc_also_bought segment: 1/1
2014-03-13 16:09:47: table: wp_hfecommwpsc_cart_contents segment: 1/1
2014-03-13 16:09:47: table: wp_hfecommwpsc_checkout_forms segment: 1/1
